id,office_name
1,Laguna Provincial Cooperative Development Office
2,Office of the Provincial Agriculturist
3,Laguna Provincial Library
4,Provincial General Services Office
5,Laguna Traffic Management Office
6,Provincial Budget Office
7,Provicial Engineering Office
8,Provincial Nutrition and Action Office
9,Provincial Treasurers Office
10,Provincial Urban Development Housing Office
11,Special Livelihood Office
12,Laguna Tanggapan ng Panalalawigan Beterinaryo
13,Provincial Population Office - Outreach
14,Panalalawigan Tanggapan sa Pagpapaunlad ng Palakasan(Sports)
15,Laguna University
16,Provincial Human Resource Management Office
17,Tanggapan ng Panlalawigang Mananangol
18,Office of the Provincial Administrator
19,Pronvincial Information Office
20,Office of the Provincial Accountant
21,Governor's Office-Executive
22,Moral Development and Women's Desk Office
23,Management Information System Office
24,Provincial Public Employment Service Office
