office_id,service_name
1,Training on Computer Graphic Design for Teachers
1,Training on Computer and Internet Literacy Course(CILC) for Out-of-School-Youth and Adults
1,Conduct eSkwela Training for Out-of-School-Youth and Adults
1,Blue Card Verification
1,Issuance of PGL ID
1,It Repair Procedure
1,Software/System Development Procedure
1,Zoom Meeting Technical Assistance
2,Process of Tax Declarations Research
2,Processing of Certifications
2,Processing of Annotation
2,Processing of Assessment
2,Processing of Appraisal
3,Release of Disaster Risk Reduction and Management Data/Documents
3, Provide Medical Assistance for emergencies
3,Conduct of Trainings
4,Repair/Rehabilitation & Construction of Infrastructure Projects
4,Provision/Lending of Heavy Equipment
4,Issuance of Right of Way Clearance/ Excavation Permit
5,Referral and Recommendation (Walk–In Jobseeker)
5,Referral and Recommendation (Online Jobseeker)
5,Career Coaching
5,Employment Coaching (Work Ethics and Labor Education for Graduating Students
5,Company Accreditation for Job Fair or Recruitment Activity
5,Job Fair (Locator)
5,Job Fair (Job Seeker)
5,Local Recruitment Activity (Locator)
5,Local Recruitment Activity (Job Seeker)
5,Special Recruitment Activity (Locator)
5,Special Recruitment Activity (Job Seeker)
5,Special Program for the Employment of Student (NEW SPES)
5,Special Program for the Employment of Student (OLD SPES)
5,OFW HELP DESK (Case Management and Referral)
5,Financial Literacy Seminar
5,Pre-Employment Orientation Seminar
5,Anti-Illegal Recruitment/Anti Trafficking In Person Seminar
5,Community-Based Skills Training
6,"Act on complaints relative to air, land and water pollution"
6,Issuance of Governor’s Clearance or Special Permit to Transport and Dispose for Land Development Project through
6,ProvinciaL Mining Regulatory Board (PMRB)
6,Countersign Delivery Receipt (DR) issued by PTO to the quarry permittee
6,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for filling/earth materials"
6,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for seedlings"
6,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for Webinar/seminar on different environment"
6,issues and concerns
7,Availment of Water Analysis Services
7, Availment of Supply Office Services
7,Availment of STAR Room Services
8,Provide video coverage support for all PGL events/activities (face to face and online)
8,Provide photo coverage support for all PGL events/activities (face to face and online)
8,Reproduction of photos and videos (face to face and online)
8,Tarpaulin content/messages Editing Support
8, Permit to photo/video shoot within the provincial capitol grounds
