office_id,service_name
1,"Curative treatment and disease preventive measures (e.g. deworming) for companion animal, livestock and poultry (ON-SITE)"
1,"Curative treatment and disease preventive measures (e.g. deworming) for companion animal, livestock and poultry (WALK-IN)"
1,Rabies vaccination for companion animals (ON-SITE)
1,Rabies vaccination foir companion animals (WALK-IN)
1,Provision of Veterinary Drugs and Biologics for the Treatment and immunization of animals
1,"Provision of artificial insemination (AI) to swine, cattle and carabao"
1,Collection Blood Sample from Poultry and Livestock Laboratory Processing
1,"Disease Surveillance to Confirm the Absence of a Particular Disease, Such As FMD, ASF, or AI in the Area. Surveillance is done every six (6) months or 2x a year."
1,Issuance of Veterinary Health (VHC) and Local Shipping Permits (LSP)
1,Processing of Request for Training and Seminar
1,Preparation of Feasibility Study (Livestock & Poultry)
1,Conduct of Livelihood Training and Seminar
1,Processing of Different Requests
1,Processing of Communications from the Office of the Provincial Veterinarian (OPV)
1,Other
2,Administration of Legislative Services
2,Review and Attestation of Ordinances
2,Social Services
2,Other
3,Accreditation of Youth Organization
3,Sangguniang Kabataan and Local Youth Development Officer of Laguna
3,Webinar
3,Other
4,Assists on the Sectors on their Requests/ Assistance
4,Other
5,Provision of Livelihood Training / Seminar
5,Issuance of Certification/Clearance of No Pending Obligation
5,Distribution of Livelihood Starter Kits
5,Other
6,Issuance of Certified True Copies of Sangguniang Panlalawigan Office
6,Issuance of Certification
6,Provide Technical Assistance Prior to the enactment of Resolution or Ordinance
6,Provide Technical Assistance upon approval of Resolution or Ordinance
6,Other
7,Use and rental of sports facilities at the Laguna Sports Complex (Walk-in)
7,Use and Rental of Sports Facilities at the Laguna Sports Complex (Sports and Non-Sports Events)
7,Other
8,Processing of Ambulance Assistance/Dispatching
8,Processing of Medical Assistance
8,Processing of Billing Assistance
8,Processing of Financial/Burial Assistance
8,Processing of Transport Assistance
8,Processing of Request for Set Up of Tents and Parachutes
8,Processing of Receiving Complaints
8,Other
9,Acceptance of Liquidation of Accounts of the Different Municipalities
9,Acceptance of Collections from Other Collecting Officers
9,Payment of Salaries and Wages and other benefits – for Non - ATM & Special Project of the Province
9,Releasing of Checks to Suppliers/Contractors and other Claimants
9,Payment of Real Property Tax
9,Compute and Accept Payment of Tax for Provincial Imposition
9,Compute and Accept Payment for Fees and Charge
9,Other
10,Provide Population Data - Population Information Dissemination
10,Conduct of Pre-Marriage Counseling Seminar
10,Conduct of Other Related Population Programs/Seminars
10,Other
11,"Provision of developmental plans, maps, statistical / non-statistical data and other planning documents"
11,Provision of Technical Assistance in Geographic Information Systems (GIS)
11,Provision of technical assistance in the formulation of GAD Plan and Budget
11,Other
12,Provide video coverage support for all PGL events/activities (face to face and online request)
12,Provide photo coverage support for all PGL events/activities (face to face and online request)
12,Reproduction of photos and videos -soft copy (face to face and online)
12,Tarpualin content/messages editing support
12,Permit to photo/video shoot within the provincial capitol compound
12,Other
13,Availment of Water Analysis Services
13,Availment of Supply Office Services
13,Availment of STAR Room Services
13,Other
14,Training on Computer Graphic Design for Teachers
14,Training on Computer and Internet Literacy Course (CILC) for Out - of-School-Youth and Adults
14,Conduct eSkwela Training for Out-of-School Youth and Adults
14,Blue Card Verification
14,Issuance of PGL ID
14,IT Repair Procedure
14,Software/System Development Procedure
14,Zoom Meeting Technical Assistance
14,Other
15,Provide Traffic Assistance and Road Safety
15,Conducts Traffic Education Seminar
15,Other
16,Courtesy Call of Local and Foreign Visitors
16,Processing of Traders Application
16,Processing of Request for Conduct of Seminars and Trainings
16,Processing of Request for the Submission of Tourism Data and Release of Directory of LGUs and Laguna Tourism Council (LTC)
16,"Identification, Classification and Recognition of Historic Sites & Structures, Unique Cultural Traditions, Eminent Persons and Historical Events in Laguna"
16,"Trainings, programs and assistance for the development of local talents, artists and cultural workers"
16,"Request for Information on Culture, Arts and Heritage"
16,Request of materials for Virtual Tour
16,Inquiries on Tourism Products and Services and Activities
16,Other
17,Court Case Representation
17,Contract Review and Preparation
17,Legal Opinion
17,Administrative Proceedings
17,Legal Assistance
17,Legislative Liaison
17,Administrative Clearance Certificate
17,Bids And Awards Committee
17,Other
18,Visit of Person Deprived of Liberty (PDL) or Inmate
18,Receiving of Person Deprived of Liberty (PDL) or Inmate
18,Releasing of Person Deprived of Liberty (PDL) or Inmate
18,Other
19,Referral and Recommendation ( Walk–In Jobseeker)
19,Referral and Recommendation (Online Jobseeker)
19,Career Coaching
19,Employment Coaching (Work Ethics and Labor Education for Graduating Students
19,Company Accreditation for Job Fair or Recruitment Activity
19,Job Fair (Locator)
19,Job Fair (Job Seeker)
19,Local Recruitment Activity (Locator)
19,Local Recruitment Activity (Job Seeker)
19,Special Recruitment Activity (Locator)
19,Special Recruitment Activity (Job Seeker)
19,Special Program for the Employment of Student (NEW SPES)
19,Special Program for the Employment of Student (OLD SPES)
19,OFW HELP DESK (Case Management and Referral)
19,Financial Literacy Seminar
19,Pre-Employment Orientation Seminar
19,Anti-Illegal Recruitment/Anti Trafficking In Person Seminar
19,Community-Based Skills Training
19,Other
20,Release of Disaster Risk Reduction and Management Data/Documents
20,Provide Medical Assistance for emergencies
20,Conduct of Trainings
20,Other
21,Provide food commodities for nutrition rehabilitation and malnutrition prevention
21,Provide Nutrition - Related Data
21,Provide consultancy services to Barangay Nutrition Scholars (BNSs) and Nutrition Action Officers (NAOs)
21,"Provide resource person for nutrition-related seminars, symposia, training and other similar activities"
21,"Provide Information, Education and Communication (IEC) materials for proper nutrition"
21,Provide diet counselling and diet plan to walk-in clients
21,Other
22,Conduct of Spiritual Upliftment and Values Formation Session
22,Prayer and Counseling to those in Need of a Good Spiritual Upliftment
22,Provision of Materials/Handouts for Spiritual Upliftment and Values Formation Lecture Sessions
22,Other
23,Provide Financial/Medical/Burial Assistance on People’s Day
23,Provide the Presence/Messages from the Honorable Governor to Special Events/Occasions/Activities
23,Other
24,Scholarship Program of Laguna
24,Provision of Financial Assistance
24,Provision of Medicine
24,Burial Assistance to the Family of deceased Barangay Officials/Barangay Tanod
24,"Processing of of Correspondences (Request, Complaint, Proposal, etc)"
24,Other
25,Auction of Palay (from Demo farm) and Fruits (from the Provincial Nursery)
25,Issuance of Certification/Data/Fertilizer Recommendation
25,Market Linkaging/ Matching- Laguna Agricultural Trading Center
25,Provision of Agricultural Inputs for Crops & Fisheries
25,Provision of Technical Assistance
25,Registration of Agricultural Machinery
25,"Sales of Different Agricultural Commodities (Crops, Fingerlings, Orchid Flowers, Seedlings & Fruit Trees)"
25,Student On-the-Job Training
25,Subsidized Land Preparation/Tractor Services
25,Trainings/Seminars/Farmers Field
25,Other
26,"Act on complaints relative to air, land and water pollution"
26,Issuance of Governor's Clearance or Special Permit to Transport and Dispose for Land Development Project through Provincial Mining Regulatory Board (PMRB)
26,Countersign Delivery Receipt (DR) issued by PTO to the quarry permittee
26,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for filling/earth materials"
26,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for seedlings"
26,"Facilitate Request of LGU’s, schools, PO’s, and other agencies/offices for Webinar/seminar on different environment issues and concerns"
26,Other
27,Conduct Pre-Membership Education Seminar (PMES)
27,Provision of Cooperative Pro-Forma Templates
27,Provides Documentation Assistance in Drafting Articles of Cooperation and By-Laws and Other Documents Required for Registration
27,Provide Financial Assistance to Registered Cooperatives
27,Conduct CDA mandatory training/seminar
27,Provide Hands-On Coaching/Mentoring to Requesting Clients
27,Other
28,Medical and Dental Mission
28,National Tuberculosis Program
28,National Leprosy Control and Prevention Program
28,STD/ Social Hygiene Clinic
28,Laboratory Services
28,Radiology Services
28,Out-patient Services
28,Other
29,Budget Preparation Procedure
29,Communications Procedure
29,Obligation Request Process Procedure
29,Review City/Municipal Budgets of Laguna
29,Other
30,Process of Tax Declarations Research
30,Processing of Certifications
30,Processing of Annotation
30,Processing of Assessment
30,Processing of Appraisal
30,Other
31,Issuance of Clearance on Cash Accountability
31,Issuance of Certificate of Last Salary Received
31,Issuance of Certificate of Remittances
31,"Online request of Certificate of Remittances (Philhealth, PagIbig/HDMF and GSIS), Clearance on the Cash Accountability and Certificate of Last Salary Received"
31,Other
32,Handling of Queries on Housing Concern
32,Provision of Seminars
32,Provision of Technical Assistance for Community Associations
32,Housing Projects (CMP/DPS)
32,Mediation and Arbitration of Complaints
32,Other
33,Repair/Rehabilitation & Construction of Infrastructure Projects
33,Provision/Lending of Heavy Equipment
33,Issuance of Right of Way Clearance/ Excavation Permit
33,Other
34,"Provide Financial Assistance to Individual in Crisis Situation(AICS) for Medical and Burial, Assistive Devices and Transportation Assistance"
34,Provide Rehabilitation Services for Women and Children in Need of Special Protection
34,Provide Temporary Care and Residential Rehabilitation Facility to Drug Dependents
34,Provide Transition Home for Children-In-Conflict with the Law
34,Provide Skills Development Training for Livelihood
34,Serbisyong Tama Health Program
34,Provide Assistance to Children-In-Conflict with the Law
34,Provision of Assistance to Disaster Victims
34,Case Management
34,"Conduct of Assessment for Issuance of Registration Certificate of NGO’s, PO’s and Foundation as Social Welfare and Development Agency"
34,Other
35,Hiring of Personnel
