office_id,service_name,service_type
1,Seminar sa pagiging isang miyembro(External),0
1,Pagbibigay ng Pro-forma Template sa mga Kooperatiba(External),0
1,Magbigay ng gabay sa Pagbalangkas ng Artikulo ng Kooperasyon at By-Laws at iba pang mga Dokumento na kinakailangan para sa pagpaparehistro(External),0
1,Pagsasagawa ng kinakailangan seminar at pagsasanay na hinihingi ng CDA(External),0
1,Magbigay ng aktuwal na pagtuturo(External),0
1,Seminar sa pagiging isang miyembro(Internal),1
1,Magbigay ng Tulong Pinansyal sa rehistradong kooperatiba(Internal),1
2,Pagbibigay ng Supportang Teknikal para sa Agrikultura at Pangingisda(External),0
2,"Pagsasagawa ng Pakitang Gawa, Pagsasanay, at Techno Demo Aralan(External)",0
2,Pagbibigay ng mga Kagamitan para sa Pangsakahanat Pangisdaan(External),0
2,Pagsusuri ng Lupa gamit ang Soil Test Kit(External),0
2,Sentro ng Serbisyo sa Impormasyong-Pangteknolohiya para sa mga Magsasaka(External),0
2,Subsidyo o tulong para sa mababang pa-upa ng Traktora(External),0
2,Paglathala ng mga Hiniling na Datos Pang-agrikultura at ng Setipikasyon(External),0
3,Mag-isyu ng Libary Card(External),0
3,Magpahiram ng mga inilimbag at hindi-limbag na materyales sa mga gumagamit ng aklatan(External),0
3,Magbigay ng mga sanguniang serbisyo para sa pananaliksik(External),0
3,Magbigay ng libreng paggamit ng komputer para sa pananaliksik at pag-imprenta lamang (External),0
3,Magkaloob ng mga aklat sa mga pampublikong aklatan at sa mga pampublikong paaralan(External),0
3,Tumanggap ng mga donasyong aklat(External),0
4,"Pagbigay ng Kagamitan, Suplay, Materyales para sa donasyon(External)",0
4,Pagbibigay ng Certificate of Clearance Batay sa Responsibilidad sa Pag-aari(Internal),1
4,"Pamamahagi ng mga kagamitan sa opisina, panglinis, pang-elektrisidad, at pang-kompyuter sa mga tanggapan ng PGL(Internal)",1
4,Magbigay ng mga serbiisyo gaya ng maliit na pagkukumpuni ng mga pasilidad(Internal),1
5,Pagbibigay ng Tulong sa Trapiko at Kaligtasan sa Daan(Internal),1
5,Pagbibigay Kaalaman sa Umiiral na Batas Trapiko(Internal),1
5,Pakikipag-ugnayan sa Lahat ng ahensya ng Gobyerno para sa mga lumalabas at pumapasok na Komunikasyon(Internal),1
5,Pagtatangap at Pagbibigay ng Serbisyong Trapiko sa Lahat(Internal),1
5,Pagbibigay ng Tulong sa Trapiko at Kaligtasan sa Daan(External),0
5,Pagbibigay Kaalaman sa Umiiral na Batas Trapiko(External),0
5,Pakikipag-ugnayan sa Lahat ng ahensya ng Gobyerno para sa mga lumalabas at pumapasok na Komunikasyon(External),0
5,Pagtatangap at Pagbibigay ng Serbisyong Trapiko sa Lahat(External),0
6,Pagsusuri ng Budget ng mga Lungsod at Munisipalidad ng Laguna(External),0
6,Pamamaraan ng Komunikasyon(External),0
6,Proseso ng Paghahanda ng Budget(Internal),1
6,Pamamaraan ng Kahilingan sa Obligasyon(Internal),1
7,Pagsasagawa/Pagsasaayos ng Proyektong Pang-Inprastraktura(External),0
7,Pagtatakda sa Pagpapahiram ng Heavy Equipment(External),0
7,Pagkakaloob ng Permiso/Sertipikasyon at Pahintulot na may kaugnayan sa Road Right of Way(RROW)(External),0
7,Pagsasagawa/Pagsasaayos ng Proyektong Pang-Inprastraktura(Internal),1
